"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 18 14:18:23 GMT 2023","Sat Mar 18 14:18:40 GMT 2023","17057","","RoxoPageTest","","RoxoPageTest","testRegistration","testRegistration()",""
"passed","Sat Mar 18 14:17:12 GMT 2023","Sat Mar 18 14:17:42 GMT 2023","29716","","RoxoPageTest","","RoxoPageTest","testLogin","testLogin()",""
"passed","Sat Mar 18 14:18:40 GMT 2023","Sat Mar 18 14:18:45 GMT 2023","5006","","RoxoPageTest","","RoxoPageTest","testTermsAndConditions","testTermsAndConditions()",""
"passed","Sat Mar 18 14:20:44 GMT 2023","Sat Mar 18 14:21:17 GMT 2023","33906","","RoxoPageTest","","RoxoPageTest","testLogOut","testLogOut()",""
"passed","Sat Mar 18 14:16:39 GMT 2023","Sat Mar 18 14:17:12 GMT 2023","33133","","RoxoPageTest","","RoxoPageTest","testDataSave","testDataSave()",""
"broken","Sat Mar 18 14:18:45 GMT 2023","Sat Mar 18 14:19:31 GMT 2023","45945","","RoxoPageTest","","RoxoPageTest","testModifyData","testModifyData()",""
"passed","Sat Mar 18 14:17:42 GMT 2023","Sat Mar 18 14:18:23 GMT 2023","40888","","RoxoPageTest","","RoxoPageTest","testClearData","testClearData()",""
"passed","Sat Mar 18 14:21:17 GMT 2023","Sat Mar 18 14:21:52 GMT 2023","34465","","RoxoPageTest","","RoxoPageTest","testListData","testListData()",""
"passed","Sat Mar 18 14:19:31 GMT 2023","Sat Mar 18 14:20:03 GMT 2023","32159","","RoxoPageTest","","RoxoPageTest","testPagination","testPagination()",""
"passed","Sat Mar 18 14:20:03 GMT 2023","Sat Mar 18 14:20:43 GMT 2023","40723","","RoxoPageTest","","RoxoPageTest","testNewData","testNewData()",""
